payment_id,card_id,billing_cycle_start,billing_cycle_end,statement_balance,minimum_payment_due,payment_amount,payment_date,payment_method,payment_status,late_payment_flag,days_past_due
118,5286,1984-06-13,2009-12-11,2361,197,2803,1984-08-24,,paid,0.0,30
119,2944,2013-03-18,1984-04-26,3551,77,5032,,bank transfer,Pending,1.0,10
120,7130,1987-12-12,1973-01-14,4718,107,4476,1975-01-06,Debit Card,paid,0.0,30
121,595,1988-06-08,1974-07-31,2904,100,2444,,Debit Card,,1.0,10
122,14047,1991-07-26,2016-10-07,1723,122,3069,1981-01-01,ACH,paid,1.0,5
123,6259,1984-09-11,2024-11-07,2061,25,3541,1985-12-04,Debit Card,paid,1.0,5
124,13229,2011-10-06,2021-11-08,1400,195,5472,,bank transfer,,,-3
125,9170,1977-03-11,1981-02-04,4403,155,4834,1982-08-17,,Paid,1.0,30
126,11203,1996-12-31,1979-10-25,4200,113,5566,,Debit Card,paid,,0
127,4732,2003-04-23,2002-12-02,2702,128,1416,,bank transfer,Pending,1.0,0
128,12510,1991-11-10,1982-01-01,2111,41,5558,,bank transfer,Paid,,10
129,1804,2019-03-30,2007-12-29,1542,146,4105,,Debit Card,Pending,,-3
130,6220,2019-01-10,1992-09-30,1370,190,974,1976-02-03,,Paid,1.0,10
131,10046,2000-04-14,2013-11-21,1171,34,967,2003-01-30,,,0.0,-3
132,14055,2004-01-14,1991-11-24,529,51,2847,,Bank Transfer,Paid,,5
133,6592,1970-11-25,2005-09-22,4235,193,1692,1992-02-25,,paid,,30
134,6204,1977-01-05,1984-10-15,1349,116,2097,1971-02-28,,,0.0,30
135,10419,2005-02-14,1982-01-17,3401,105,1308,,,Paid,,10
136,7251,1993-10-11,1978-05-15,4474,106,2677,1975-12-19,,Pending,0.0,30
137,9831,1999-04-23,2020-12-11,596,82,5926,2024-10-18,,Pending,1.0,5
138,3160,2018-03-19,1992-09-12,1506,31,3541,2012-08-10,ACH,Paid,1.0,-3
139,10540,1995-03-08,2015-12-06,1392,192,4504,,bank transfer,Pending,0.0,5
140,744,1977-11-12,2000-12-10,4984,113,2270,1985-05-21,bank transfer,paid,1.0,5
141,11559,1998-08-28,2004-01-14,3459,90,2718,,ACH,paid,,0
142,11256,1982-04-17,2007-11-29,3245,96,2165,2001-07-15,bank transfer,,1.0,10
143,14486,1989-05-26,2014-11-21,1389,119,2525,,ACH,,1.0,-3
144,2453,2013-04-28,1992-07-16,4329,146,134,,,Paid,,-3
145,1129,1970-09-10,1997-12-22,2451,75,5104,,ACH,Pending,0.0,0
146,7563,2019-05-14,1982-03-21,3768,180,4295,,Debit Card,Paid,1.0,5
147,4254,1977-08-26,2020-05-25,1235,121,3194,,Bank Transfer,,1.0,30
148,649,1971-06-27,1989-06-17,4273,193,1667,,,,1.0,0
149,5442,2012-10-12,2025-08-07,4000,101,5743,,Bank Transfer,Paid,0.0,30
150,14113,1970-03-15,2009-04-30,4979,198,4263,,,,1.0,0
151,12195,1993-10-22,2002-03-30,2816,70,5307,1985-03-18,,Paid,0.0,10
152,13539,1974-08-26,2020-11-03,822,84,763,1996-03-02,ACH,Pending,,-3
153,14333,2022-03-28,2007-06-02,3500,149,5660,,Bank Transfer,Pending,1.0,10
154,11312,1980-05-18,1970-10-27,1976,174,4970,,ACH,paid,0.0,5
155,8933,1995-04-17,2002-08-14,4055,34,40,,Debit Card,,0.0,0
156,4174,1982-03-23,1974-06-15,3466,64,1769,1997-05-23,Debit Card,,,-3
157,9915,1980-07-21,1973-03-08,730,68,2871,2000-07-20,,paid,0.0,5
158,6532,2014-08-07,1981-03-07,1918,124,1511,2014-04-10,Debit Card,Paid,1.0,10
159,12339,2020-01-15,1990-03-28,4209,128,2303,1997-05-28,ACH,Paid,1.0,30
160,5533,1984-03-11,2023-07-19,4242,167,3040,2007-02-06,Debit Card,,,10
161,12088,1998-04-15,2013-01-30,1324,187,304,1983-03-01,Bank Transfer,paid,,5
162,1944,1971-10-09,1971-02-03,616,140,5560,,Debit Card,,1.0,0
163,12425,1993-04-14,2004-11-29,4912,127,4457,,,,0.0,-3
164,14964,2004-10-28,1992-08-16,4900,118,3662,2024-12-05,Debit Card,Paid,1.0,10
165,12885,1971-03-08,1972-01-03,2375,169,4779,1981-12-03,,,0.0,-3
166,5694,1974-07-11,2024-06-19,858,172,4151,1986-12-26,,paid,0.0,0
167,8943,1987-02-08,2020-06-20,1177,58,1190,,ACH,paid,,30
168,1663,1971-05-24,2007-07-22,4550,34,134,,,,1.0,5
169,337,1982-02-15,1973-12-28,1410,123,1715,,ACH,paid,1.0,10
170,11685,2025-07-18,1972-04-26,2138,62,5217,,ACH,,,0
171,5298,2025-04-19,1995-04-10,3163,35,5952,,ACH,Pending,0.0,5
172,11017,2001-12-26,1992-04-11,3974,162,5812,1994-03-31,,paid,,0
173,12644,2002-08-04,1994-09-11,1845,120,4559,,Bank Transfer,,1.0,10
174,14798,1993-10-31,2005-11-13,3561,106,1553,,ACH,paid,,30
175,2140,2008-03-18,2025-07-09,2612,193,1635,,,paid,,10
176,4896,2018-12-06,1980-02-06,3837,58,5528,,bank transfer,paid,0.0,0
177,11043,2022-04-20,2007-10-15,3750,107,3838,1985-03-07,Bank Transfer,paid,,30
178,14094,1977-11-08,1987-06-18,3030,32,4549,,,Paid,,0
179,5217,2025-12-31,1984-08-25,2498,94,4037,,Bank Transfer,Paid,1.0,30
180,14770,1999-05-16,2003-05-13,2311,148,1067,2009-05-16,Bank Transfer,Pending,,10
181,7790,2015-07-21,2022-11-28,2596,184,2312,,ACH,paid,1.0,10
182,9542,2023-11-10,1987-07-10,1188,194,369,1986-10-27,ACH,Paid,0.0,30
183,12257,1975-04-30,1972-01-26,1908,175,2293,,Debit Card,paid,,30
184,2846,1999-10-19,2019-02-26,2285,28,5532,,ACH,paid,0.0,0
185,9516,1974-08-28,1984-03-21,2201,160,3110,,bank transfer,Paid,0.0,0
186,4024,2006-02-23,1976-12-21,4394,158,4037,1979-07-26,ACH,Pending,0.0,0
187,3235,1980-09-01,1992-01-16,1397,184,3082,2014-08-15,bank transfer,Paid,0.0,10
188,6166,1973-12-16,1975-12-12,1862,109,5209,2001-03-17,Debit Card,paid,,10
189,12735,1979-12-20,1997-04-13,3469,125,1875,1988-02-07,Debit Card,Pending,,10
190,10401,2012-12-26,2011-09-12,1931,64,3790,,Bank Transfer,Paid,1.0,-3
191,538,2013-09-11,2016-05-04,4193,140,3065,,bank transfer,Pending,0.0,0
192,6314,1983-12-09,1995-03-21,2159,40,775,,ACH,Pending,1.0,-3
193,5085,1996-02-08,1989-02-13,2257,194,2989,,Bank Transfer,,0.0,5
194,13067,1985-07-20,2005-10-24,2897,163,3606,,bank transfer,Paid,0.0,5
195,13626,1973-12-11,1994-12-15,1659,67,1157,1978-10-12,,Paid,0.0,5
196,7107,2015-04-07,2014-07-02,927,65,4376,,bank transfer,,0.0,0
197,11878,1976-09-15,2020-07-26,3341,38,4022,,Debit Card,Pending,0.0,0
198,1048,1987-06-01,1998-07-22,3001,129,3068,2022-08-22,,,,5
199,13579,2000-11-06,1983-06-25,2102,166,3703,,ACH,paid,1.0,0
200,2769,1984-04-06,1985-08-06,4573,96,3171,,ACH,Pending,0.0,0
201,1757,1995-12-12,1974-05-30,3084,61,2813,1973-01-02,Debit Card,paid,1.0,5
202,5178,1980-12-23,2011-08-24,1852,43,726,,Bank Transfer,Pending,0.0,0
203,13518,1981-01-21,1975-11-04,500,102,3132,1987-10-11,bank transfer,Pending,,-3
204,9212,1985-04-15,2007-09-29,834,38,4715,,Bank Transfer,,1.0,0
205,9958,1980-01-22,2003-02-28,3824,196,2601,1984-10-25,Bank Transfer,Pending,1.0,5
206,759,1996-11-09,2007-02-05,2628,27,4698,,,Pending,1.0,10
207,9361,1972-08-27,1988-11-06,1562,86,4812,,,Pending,0.0,5
208,4296,2020-02-09,2025-07-05,1648,115,1755,,,,,-3
209,5420,1981-11-26,1994-09-17,4009,189,5857,,bank transfer,paid,0.0,10
210,14878,1995-03-20,2008-06-15,617,149,5931,1996-05-02,ACH,,1.0,30
211,12718,1975-06-24,2009-10-17,4651,183,1657,,,paid,0.0,10
212,12538,1971-09-18,1983-08-21,4619,127,3282,,Debit Card,Pending,1.0,30
213,11898,1971-06-24,1987-08-18,2959,183,2462,2012-03-28,Bank Transfer,Pending,1.0,30
214,13695,2025-08-16,1983-05-03,553,26,1808,2019-06-14,ACH,,,30
215,8289,1982-11-04,1980-03-30,2042,56,3435,,,Paid,1.0,5
216,2661,1999-12-25,2010-05-21,4232,134,5382,,Bank Transfer,,1.0,0
217,12074,1974-03-26,1971-12-10,664,56,5294,,,paid,1.0,0
218,13604,2012-01-11,2017-07-11,3364,99,1615,2017-09-26,,paid,0.0,-3
219,14818,1983-12-07,2005-08-18,3300,145,4262,,Bank Transfer,paid,1.0,0
220,12598,1972-06-04,1976-08-10,3535,96,3601,,Bank Transfer,paid,1.0,0
221,6597,2013-06-30,1989-10-20,4010,99,4244,2003-02-01,,paid,1.0,-3
222,4074,2024-01-11,1990-08-25,2872,68,5778,,Debit Card,paid,,-3
223,2356,1995-10-27,1997-06-03,1145,138,2478,1977-04-11,Debit Card,Paid,1.0,-3
224,7234,1990-09-19,2025-02-19,4159,76,5126,,bank transfer,paid,0.0,10
225,14053,1994-01-10,1989-06-28,4527,58,5307,1981-04-26,Debit Card,,1.0,0
226,6300,1989-02-05,2004-09-23,3090,103,1545,1986-07-04,Debit Card,paid,1.0,30
227,11748,2006-05-18,2023-01-07,1669,132,4562,,bank transfer,paid,,30
228,8714,2022-12-28,2024-04-23,805,82,3549,2019-03-17,Debit Card,,0.0,-3
229,6207,2005-08-07,1982-07-12,4558,159,516,,bank transfer,,,30
230,832,1986-10-13,1981-08-26,4864,184,2027,,bank transfer,Pending,,5
231,8945,2003-10-29,2021-09-19,3630,91,2785,,Debit Card,,,5
232,6013,2008-01-11,2009-06-28,3289,109,3211,,ACH,paid,0.0,10
233,9619,1970-03-26,2020-02-19,3155,121,3431,,bank transfer,,,-3
234,8548,1979-06-25,2011-12-12,3904,131,4353,,Bank Transfer,Pending,0.0,10
235,14189,1980-01-09,2017-11-06,2418,189,2608,,Bank Transfer,Pending,0.0,30
236,11013,1976-06-29,1989-05-29,4939,122,1174,,,Pending,1.0,5
237,6415,1986-11-12,1976-07-17,3876,131,4016,,ACH,Pending,0.0,5
238,11752,2006-06-08,1992-06-16,1047,185,888,1996-11-13,ACH,Pending,0.0,5
239,12508,2000-11-07,1976-12-18,4240,115,3365,,Debit Card,paid,0.0,5
240,548,1997-11-03,1972-05-02,2587,67,5474,,,Pending,,5
241,5628,1984-12-04,1987-01-12,3857,64,950,,Debit Card,Paid,,10
242,13425,1987-05-21,2015-09-26,4536,96,5033,,Bank Transfer,,0.0,-3
243,11317,1989-06-02,1970-10-04,4008,152,1746,,Debit Card,Paid,1.0,-3
244,485,2018-01-09,1991-07-29,1388,60,363,,Bank Transfer,paid,0.0,-3
245,12131,2008-07-24,1987-10-09,829,30,1563,,Debit Card,Paid,,30
246,7446,1999-08-03,1983-08-06,4450,96,522,1982-08-11,Bank Transfer,Pending,,5
247,10539,1996-06-06,2009-09-14,2059,136,1223,,ACH,Pending,1.0,5
248,7953,2005-10-09,2011-02-09,2445,43,295,2023-09-01,,Pending,1.0,5
249,3460,1980-10-19,2013-01-22,3136,92,2754,,bank transfer,,0.0,30
250,2158,2022-10-31,1973-10-14,4993,200,434,1974-05-17,bank transfer,Pending,1.0,10
251,8875,1987-04-13,2017-11-26,3505,101,2364,2020-08-27,Debit Card,paid,0.0,5
252,11371,2000-01-20,2023-08-14,2020,119,3602,1981-10-13,ACH,,0.0,10
253,6038,1987-09-15,2018-10-27,3982,191,2243,,,Pending,,30
254,345,1993-11-01,1975-04-30,1458,173,5046,,Bank Transfer,paid,0.0,30
255,12062,2013-08-24,2008-06-03,958,33,4747,,Bank Transfer,Paid,,5
256,4341,2008-02-28,2020-02-03,1386,21,1090,,ACH,paid,0.0,-3
257,3574,2019-05-11,1983-05-22,1875,175,1041,,ACH,,,0
258,5713,2000-09-01,2024-02-06,633,120,4369,,bank transfer,Paid,0.0,30
259,585,2016-03-06,2007-12-29,1313,200,1493,,ACH,paid,0.0,30
260,12941,2013-08-01,2014-09-29,522,76,577,,ACH,Pending,0.0,5
261,8744,2025-08-16,1991-05-19,3410,42,1646,1978-08-26,ACH,,1.0,-3
262,7742,1988-11-20,2012-11-19,2511,52,3152,,ACH,Paid,0.0,-3
263,3539,1980-06-09,1981-08-05,2509,93,617,,bank transfer,Pending,0.0,10
264,4080,1987-05-19,2022-03-05,4389,85,2688,2015-09-22,Bank Transfer,Paid,0.0,-3
265,10499,2019-11-14,1984-04-21,2524,194,4167,,Debit Card,paid,,5
266,5686,1970-04-01,1982-03-21,3937,63,1949,1984-08-03,,paid,,10
267,2512,2006-07-23,1982-07-30,2100,134,2278,,ACH,paid,,10
268,12423,2024-03-30,2006-02-17,1145,46,1209,1984-09-11,Debit Card,,1.0,-3
269,11617,1976-11-14,1982-06-01,1062,58,1361,,Debit Card,,1.0,-3
270,10202,2024-03-01,2018-07-18,708,98,4192,,,paid,0.0,10
271,10790,1980-08-22,1980-12-05,4492,188,1373,,bank transfer,Pending,0.0,30
272,2995,1975-11-25,1989-02-22,1375,179,930,2010-05-03,bank transfer,Pending,1.0,-3
273,8126,1991-12-21,1974-08-12,877,110,4557,,ACH,paid,1.0,5
274,10521,2003-01-10,2003-07-17,4823,174,3482,,Bank Transfer,Pending,,5
275,4856,2024-05-17,2019-03-26,4392,146,1444,2014-06-12,Debit Card,paid,1.0,10
276,7041,1975-08-30,1999-11-05,846,172,4763,,Bank Transfer,Pending,1.0,0
277,7920,1978-05-20,1984-01-18,2355,93,1467,1990-03-04,Bank Transfer,Paid,,0
278,14111,1990-11-01,2015-07-29,4012,108,514,,ACH,paid,0.0,0
279,4738,1971-09-02,1982-12-16,537,80,2960,,Debit Card,Paid,0.0,-3
280,9610,2023-03-02,2019-05-08,3534,121,3815,,ACH,Paid,1.0,10
281,2992,1990-12-19,2025-11-23,2641,112,5121,,Debit Card,Paid,,-3
282,11950,1981-12-28,1985-10-02,2753,65,425,,Bank Transfer,,0.0,5
283,9213,1998-08-28,2015-03-17,1893,151,162,,bank transfer,paid,0.0,10
284,13541,2003-07-10,1975-05-30,3701,158,283,2025-05-07,Bank Transfer,,1.0,10
285,10787,2021-07-15,2014-08-19,4814,88,2140,,bank transfer,Pending,1.0,5
286,6775,2009-02-20,1983-02-03,4713,70,689,,bank transfer,,,30
287,7457,2024-01-14,1972-02-17,3745,34,1593,,Bank Transfer,,0.0,5
288,3831,1994-02-13,1970-02-26,904,183,4143,,Bank Transfer,paid,1.0,30
289,8729,2018-03-31,1981-03-01,2202,110,1720,,Bank Transfer,Pending,0.0,30
290,9121,2012-04-07,2009-10-15,4283,66,3643,2011-01-15,ACH,Pending,,30
291,7808,1970-10-09,1994-03-05,3796,31,521,,Bank Transfer,Pending,0.0,0
292,15156,1993-01-29,1984-03-06,4761,170,530,,bank transfer,,0.0,0
293,2717,1972-05-11,2008-08-31,3761,152,2147,1970-11-21,bank transfer,,1.0,0
294,6684,2014-02-26,2002-01-04,1098,129,3423,,ACH,Paid,0.0,10
295,1748,1984-11-21,2010-03-27,3131,162,2162,2003-10-17,Bank Transfer,,,5
296,14035,1993-09-01,1983-03-02,574,58,2024,,bank transfer,,,-3
297,10500,1974-04-30,1997-04-29,680,139,4001,,Debit Card,Pending,1.0,5
298,10052,2004-07-17,1986-10-09,4216,84,926,,bank transfer,Pending,1.0,-3
299,6255,2001-07-06,2014-08-11,4593,48,2015,,bank transfer,Pending,0.0,5
300,4273,1983-02-26,2000-08-30,2978,89,5930,,Debit Card,paid,,-3
301,5733,1994-09-15,2014-02-13,2733,185,602,1995-09-11,,,0.0,0
302,7412,1981-11-15,2005-09-12,2176,102,1423,,Bank Transfer,,0.0,10
303,8092,2002-04-03,2012-03-21,991,121,1658,,bank transfer,,1.0,30
304,3418,1991-12-29,1994-11-27,1666,105,3778,2009-09-04,,Paid,0.0,10
305,1840,1986-05-30,1983-07-31,4412,122,1066,,Debit Card,Pending,,-3
306,15239,1984-09-11,2003-11-16,3064,125,1075,,Debit Card,Pending,1.0,-3
307,11358,1989-01-01,1976-12-26,4452,92,1069,,Bank Transfer,Paid,1.0,0
308,3750,2022-05-19,1972-04-13,1319,26,581,2023-07-16,,Paid,0.0,5
309,4740,1985-09-27,2023-03-23,2336,97,5169,,Debit Card,Paid,1.0,30
310,11583,1993-10-28,2021-02-08,1725,105,5414,1994-01-14,ACH,Paid,0.0,0
311,6065,2023-02-13,1972-07-09,1622,102,5733,,bank transfer,Pending,,-3
312,9384,2019-02-22,1970-09-29,1750,62,752,,Bank Transfer,,0.0,-3
313,680,1970-03-01,1985-01-26,972,83,4556,,Debit Card,,0.0,10
314,8662,2022-04-16,1974-06-21,4695,117,4877,,Bank Transfer,Paid,,-3
315,14333,2015-05-02,2025-12-11,4175,68,4435,,bank transfer,Pending,,10
316,8302,2006-03-20,1985-03-21,4655,54,4538,,ACH,paid,1.0,30
317,5427,2026-02-16,1981-05-06,4800,91,500,,Bank Transfer,,0.0,10
318,404,2002-09-27,1993-09-13,1406,136,4598,,Bank Transfer,Pending,,10
319,8080,2013-09-16,1981-08-23,1209,98,555,,ACH,,1.0,10
320,3371,1979-10-13,2001-04-16,1503,22,5398,,Bank Transfer,Pending,,5
321,6963,1981-10-16,1992-03-23,2348,20,295,,Bank Transfer,Pending,1.0,0
322,8129,2010-10-21,1979-09-26,2545,123,2140,,Debit Card,Pending,0.0,10
323,6476,1980-12-04,1976-05-17,2647,21,1804,1997-10-16,bank transfer,,,0
